rhohat,rhoerror,minx,rhohatN,rhoerrorN,I,Iinf
NaN,0,0,NaN,2.32598803719817,Inf,1
NaN,-0,0,NaN,-38.196444839837,Inf,1
NaN,-0,0,NaN,-5.74598738908998,Inf,1
NaN,0,0,NaN,21.2765387550612,Inf,1
NaN,-0,0,NaN,-20.520414820679,Inf,1
NaN,0,0,NaN,20.4467696861063,Inf,1
NaN,-0,0,NaN,-36.2699019849678,Inf,1
NaN,-0,0,NaN,-27.137769028354,Inf,1
NaN,0,0,NaN,3.60566468868934,Inf,1
NaN,-0,0,NaN,-3.44846742107557,Inf,1
NaN,0,0,NaN,0.685940469933024,Inf,1
NaN,-0,0,NaN,-52.6326079417199,Inf,1
NaN,-0,0,NaN,-12.6308481642021,Inf,1
NaN,-0,0,NaN,-21.3101947709548,Inf,1
NaN,0,0,NaN,2.00383183680019,Inf,1
NaN,0,0,NaN,6.44273121078578,Inf,1
6.49717833141675,6.49717833141709,0.00834357348720207,0.662697364666824,0.662697364666858,0.101997718219059,0
NaN,0,0,NaN,33.8842745176128,Inf,1
NaN,0,0,NaN,1.61774749886556,Inf,1
NaN,0,0,NaN,2.39129181509093,Inf,1
NaN,0,0,NaN,21.0332023626526,Inf,1
NaN,-0,0,NaN,-5.03918414681585,Inf,1
NaN,-0,0,NaN,-43.0566025148366,Inf,1
2.90037864094143,2.90037864094161,0.00460198309495214,0.941709905147309,0.941709905147367,0.324685160707721,0
NaN,0,0,NaN,12.7944964755244,Inf,1
NaN,-0,0,NaN,-2.13067030794135,Inf,1
NaN,0,0,NaN,2.68974465975848,Inf,1
NaN,0,0,NaN,26.9169816144071,Inf,1
NaN,0,0,NaN,21.0807704580897,Inf,1
NaN,-0,0,NaN,-87.7780131578203,Inf,1
NaN,0,0,NaN,12.1209632070765,Inf,1
NaN,0,0,NaN,1.66194724222513,Inf,1
NaN,0,0,NaN,11.3213003204964,Inf,1
NaN,-0,0,NaN,-96.8845024592995,Inf,1
NaN,-0,0,NaN,-38.304008216138,Inf,1
NaN,-0,0,NaN,-63.2539747606603,Inf,1
NaN,0,0,NaN,8.40185635258699,Inf,1
NaN,-0,0,NaN,-23.17557644436,Inf,1
NaN,0,0,NaN,7.14102187274579,Inf,1
NaN,-0,0,NaN,-16.2721480661359,Inf,1
NaN,0,0,NaN,28.1083236791531,Inf,1
NaN,-0,0,NaN,-17.8827869702206,Inf,1
3.34832242150504,3.34832242150489,0.0296827786998614,0.649102954731115,0.649102954731087,0.193859154829943,0
NaN,-0,0,NaN,-20.9892901883314,Inf,1
NaN,-0,0,NaN,-18.3120081031222,Inf,1
6.81779182842693,6.81779182842763,0.0210584841114928,0.591918383001211,0.591918383001273,0.0868196621277281,0
NaN,0,0,NaN,25.2424712886543,Inf,1
NaN,-0,0,NaN,-0.524325797216238,Inf,1
NaN,-0,0,NaN,-15.3035390116056,Inf,1
NaN,-0,0,NaN,-12.0385183935152,Inf,1
NaN,-0,0,NaN,-3.3905143044461,Inf,1
NaN,0,0,NaN,35.4293114878458,Inf,1
NaN,-0,0,NaN,-16.0080497827366,Inf,1
NaN,-0,0,NaN,-0.870867032612534,Inf,1
NaN,0,0,NaN,22.367272478007,Inf,1
NaN,-0,0,NaN,-19.6614223627791,Inf,1
NaN,0,0,NaN,4.34251049888861,Inf,1
NaN,0,0,NaN,46.9191719149527,Inf,1
NaN,-0,0,NaN,-0.154699228982514,Inf,1
NaN,0,0,NaN,0.130172876009412,Inf,1
NaN,-0,0,NaN,-3.15812928418446,Inf,1
NaN,0,0,NaN,15.9738902755901,Inf,1
NaN,0,0,NaN,8.9803549345673,Inf,1
NaN,0,0,NaN,7.5516725348332,Inf,1
NaN,0,0,NaN,4.64511097937846,Inf,1
NaN,-0,0,NaN,-10.6067530908421,Inf,1
NaN,0,0,NaN,10.4939090912319,Inf,1
NaN,0,0,NaN,8.21373886669672,Inf,1
NaN,-0,0,NaN,-11.2413982569513,Inf,1
NaN,0,0,NaN,8.62435228695942,Inf,1
NaN,0,0,NaN,1.02500424822523,Inf,1
NaN,0,0,NaN,7.4574388239486,Inf,1
NaN,0,0,NaN,12.9182211025741,Inf,1
NaN,-0,0,NaN,-18.0473799190733,Inf,1
NaN,0,0,NaN,2.56434244081273,Inf,1
NaN,0,0,NaN,32.2496197208296,Inf,1
1.20040875480646,1.20040875480648,0.00171263760862973,0.935475772806983,0.935475772806997,0.77929769260789,0
NaN,0,0,NaN,13.3151940044872,Inf,1
NaN,-0,0,NaN,-86.5988883162291,Inf,1
NaN,-0,0,NaN,-28.1547879404432,Inf,1
NaN,0,0,NaN,56.8083271348067,Inf,1
NaN,-0,0,NaN,-12.7883625610177,Inf,1
NaN,-0,0,NaN,-26.4416090564321,Inf,1
NaN,0,0,NaN,7.69156596845599,Inf,1
NaN,-0,0,NaN,-1721.86569583363,Inf,1
NaN,0,0,NaN,119.997844243121,Inf,1
NaN,-0,0,NaN,-9.15424685337342,Inf,1
NaN,-0,0,NaN,-7.34880066891788,Inf,1
NaN,0,0,NaN,18.4749999541474,Inf,1
NaN,0,0,NaN,27.8954135105003,Inf,1
NaN,-0,0,NaN,-1.84838597533204,Inf,1
NaN,-0,0,NaN,-0.843795648944164,Inf,1
NaN,0,0,NaN,10.2797371013053,Inf,1
NaN,-0,0,NaN,-11.0221602781,Inf,1
NaN,-0,0,NaN,-2.11481466505198,Inf,1
NaN,-0,0,NaN,-10.590875559699,Inf,1
NaN,-0,0,NaN,-1.01967641329074,Inf,1
NaN,0,0,NaN,4.32129055654713,Inf,1
NaN,0,0,NaN,1.16039987111899,Inf,1
NaN,0,0,NaN,35.866818080878,Inf,1
