rhohat,rhoerror,minx,rhohatN,rhoerrorN,I,Iinf
NaN,0,0,NaN,5.38595836942962,Inf,1
NaN,0,0,NaN,2.35413927788791,Inf,1
NaN,-0,0,NaN,-15.7837917948211,Inf,1
NaN,-0,0,Inf,-7.31533989311342,Inf,1
8.18878269798316,5.68878269798081,0.00156530946259495,0.570208090868116,0.396126022782132,0.069632827234328,0
NaN,0,0,Inf,2.42418308688173,Inf,1
NaN,0,0,Inf,0.15804251026179,Inf,1
NaN,0,0,NaN,2.57691176214074,Inf,1
NaN,-0,0,NaN,-2.51438970520585,Inf,1
2.65285755760518,0.15285755760636,0.00562047856626817,0.780685295817414,0.044983058828675,0.294280894795634,0
NaN,0,0,Inf,0.0289096895339276,Inf,1
2.43669316241679,-0.0633068375837567,0.000844638580082664,0.876297787684431,-0.0227667736650605,0.359625824539718,0
NaN,0,0,Inf,0.882708409438096,Inf,1
NaN,-0,0,NaN,-3.25401062514125,Inf,1
NaN,-0,0,Inf,-0.0713930450057747,Inf,1
NaN,0,0,NaN,3.5822560689423,Inf,1
NaN,0,0,NaN,0.0388664647474287,Inf,1
7.15321292396328,4.6532129239654,0.0170861541157521,0.576008355633736,0.37469729382275,0.0805244247244629,0
NaN,-0,0,Inf,-1.27353886024334,Inf,1
NaN,0,0,Inf,4.50540686687017,Inf,1
NaN,0,0,Inf,5.39513794671749,Inf,1
3.15313742534917,0.653137425348002,2.05141108541359e-05,1.74668990727279,0.361807430195073,0.553952990830829,0
NaN,0,0,NaN,6.96155035988935,Inf,1
NaN,-0,0,NaN,-0.355965579459904,Inf,1
NaN,-0,0,Inf,-2.80602398770384,Inf,1
NaN,0,0,Inf,0.608174031369382,Inf,1
NaN,-0,0,Inf,-3.68938556924017,Inf,1
NaN,0,0,NaN,6.47256360524812,Inf,1
3.11203061762276,0.612030617622659,0.00117980103945089,1.58727107564932,0.312162255494233,0.510043528062012,0
NaN,0,0,Inf,0.397748192304217,Inf,1
NaN,-0,0,Inf,-2.42576397811866,Inf,1
NaN,-0,0,NaN,-9.30499307462938,Inf,1
5.43750897757075,2.9375089775706,0.00148479039103177,0.890783867372442,0.481228742476602,0.163822049958326,0
NaN,-0,0,NaN,-0.393832309072487,Inf,1
NaN,0,0,NaN,4.71608963896246,Inf,1
NaN,-0,0,Inf,-7.01068531712266,Inf,1
NaN,0,0,Inf,1.62317452685744,Inf,1
NaN,0,0,Inf,3.42640314021163,Inf,1
2.74770591898357,0.247705918979615,0.0139971716282098,0.399626075136773,0.0360263241804964,0.14543990038228,0
NaN,-0,0,NaN,-6.47014762614003,Inf,1
NaN,-0,0,Inf,-1.53759191085161,Inf,1
3.24916170384745,0.749161703846903,0.00235400282265979,0.975722688030407,0.224973127862909,0.300299824066933,0
NaN,-0,0,Inf,-0.718260091939719,Inf,1
NaN,-0,0,Inf,-4.77282139136958,Inf,1
3.59228094142991,1.09228094142771,0.00635103522292093,0.949457029719875,0.288695075684913,0.264304781613751,0
NaN,-0,0,NaN,-5.82801928833576,Inf,1
NaN,0,0,Inf,6.55178870528631,Inf,1
NaN,0,0,Inf,2.11487165018733,Inf,1
NaN,-0,0,NaN,-4.72907795477442,Inf,1
NaN,0,0,NaN,1.09250784167588,Inf,1
6.21916875481804,3.71916875481445,0.00309066581582985,0.674447196578116,0.403330901471723,0.108446518042402,0
NaN,0,0,NaN,0.295469660699746,Inf,1
NaN,-0,0,Inf,-0.160281731354961,Inf,1
NaN,0,0,Inf,6.90762635043586,Inf,1
NaN,-0,0,Inf,-0.0975918292484358,Inf,1
NaN,-0,0,NaN,-2.29909164116395,Inf,1
2.03511885439109,-0.464881145610078,0.0033219266067055,0.684070214830947,-0.156261804789526,0.336132807848032,0
NaN,-0,0,Inf,-0.535762430219168,Inf,1
NaN,0,0,Inf,2.13830436023678,Inf,1
NaN,-0,0,Inf,-3.9478662199643,Inf,1
NaN,-0,0,Inf,-2.11444419057355,Inf,1
2.57805417346933,0.0780541734688972,0.00852346049248434,0.923387172100227,0.0279568300975903,0.358172136800993,0
NaN,-0,0,Inf,-13.4505625558643,Inf,1
NaN,0,0,Inf,6.21476303788739,Inf,1
4.41618700459718,1.9161870046017,0.0179185439849411,0.672495684273516,0.291796404797668,0.152279711790615,0
NaN,0,0,Inf,9.67220889610938,Inf,1
NaN,0,0,NaN,10.7779240099076,Inf,1
NaN,-0,0,NaN,-3.01301080699012,Inf,1
NaN,-0,0,Inf,-0.800881541883527,Inf,1
NaN,0,0,NaN,1.12935568806889,Inf,1
NaN,-0,0,Inf,-15.1424768009326,Inf,1
NaN,0,0,Inf,2.26483737847564,Inf,1
10.5401989908964,8.04019899087335,0.00642888930664813,0.609695828229451,0.465083798427719,0.0578448119201588,0
NaN,0,0,NaN,2.14552941138777,Inf,1
NaN,-0,0,NaN,-6.07844288772336,Inf,1
